name,qid,gender
Francesco d'Ambra,Q3081119,male
Pier Antonio dello Stricca Legacci,,
Domenico Andrea de Milo,,
Mariano Trinci detto Maniscalco,Q105846034,male
Pietro Ulini,,
Antonio Zanetti,,
Alessandro Sozzini,Q16854245,male
Francesco Gatticci,,
Scipione Agnelli,Q43774856,male
Falotico della Congrega de' Rozzi,,
Giovanni Giorgio Arione Astigiano,,
Valerio Fuligni,,
M. S. G. M,,
Girolamo Gomes,,
Antonio Arcoleo,Q109259090,male
Giambatista Vacondio,,
Luigi Riccoboni,Q3266530,male
Saverio Pansuti,Q88566989,male
Giambattista Sarto,,
Ferdinando Obizzi,Q87250979,male
Alessandro Miari,,
Belisario Valeriani,,
Domenico Balbi,Q17341069,male
Assennato,,
Gardici,,
Francesco Rossi,Q16557390,male
Giacomo Antonio Bergamori,Q98138197,male
Baldassarre Falsaperla,,
Pietro Francesco Minucci,,
Antonio Gori,Q59193542,male
Zaccheria Seriman,,
Bernardo Dovizi,Q823002,male
Eusebio Bianchi,,
Francesco Partini,,
Almerico Passarelli,,
Giovanni Battista Carminati,Q105834317,male
Giovanni Ambrogio Marini,Q16559711,male
Girolamo Sorboli,,
Benedetto Trinca,,
Domenico Regi,Q125287769,male
Sperone Speroni,Q352663,male
Giordano Bruno,Q36330,male
Francesco Fonsi,,
Teodoro Amaideni,,
Beltramo Poggi,,
Francesco Maria Gasparri,Q50330028,male
Loreto Mattei,Q27987861,male
Secondo Tarentino,,
Florido de Silvestris,Q3746766,male
Virgilio Salvi,,
Silvestro Cartaio,,
Silvestro Caratio,,
Eleuterio Rozzi,,
Gigio Artemio Giancarli,Q5879485,male
Girolamo Bernardini,,
Bernardino Algimoni,,
Francesco Antonio Rossi,,
Giacomo Guidozzo,,
Claudio Filippi,,
Accademici Animosi,,
Infuocato,,
Lelio Manfredi,Q16860735,male
Domenico Valderama,,
Giammaria Mozzetti,,
Giulio Nini,,
Ettore Pignatelli,,
Gabriele Zinani,Q3756702,male
Pietro Ottoboni,Q725737,male
Antonio Fanzaglia,,
